group_name,ticker,company_name,role,note
Household & Personal Products,PG,Procter & Gamble Co,target,
Household & Personal Products,UL,Unilever plc ADR,peer,
Household & Personal Products,CL,Colgate-Palmolive Co,peer,
Restaurants,MCD,McDonald's Corp,target,
Restaurants,SBUX,Starbucks Corp,peer,
Internet Content & Information,GOOG,Alphabet Inc,target,
Internet Content & Information,META,Meta Platforms Inc,peer,
Internet Content & Information,SPOT,Spotify Technology SA,peer,
Confectioners,MDLZ,Mondelez International Inc,target,
Confectioners,HSY,Hershey Company,peer,
Internet Retail,BABA,Alibaba Group Holding Ltd ADR,target,
Asset Management,TROW,T. Rowe Price Group Inc,target,
Industrial Distribution,FAST,Fastenal Co,target,
Industrial Distribution,GWW,W.W. Grainger Inc,peer,
Entertainment,FOXA,Fox Corp,target,
