ticker,cik,company_name
AAPL,0000320193,Apple Inc.
PG,0000080424,Procter & Gamble Co.
MSFT,0000789019,Microsoft Corp.
GOOGL,0001652044,Alphabet Inc.
HON,,Honeywell International Inc
UL,,Unilever plc ADR
CL,,Colgate-Palmolive Co
MCD,,McDonald's Corp
SBUX,,Starbucks Corp
GOOG,,Alphabet Inc
META,,Meta Platforms Inc
SPOT,,Spotify Technology SA
MDLZ,,Mondelez International Inc
HSY,,Hershey Company
BABA,,Alibaba Group Holding Ltd ADR
TROW,,T. Rowe Price Group Inc
FAST,,Fastenal Co
GWW,,W.W. Grainger Inc
FOXA,,Fox Corp
SPYM,,State Street SPDR Portfolio S&P 500 ETF
ARKB,,ARK 21Shares Bitcoin ETF
BEN,,Franklin Resources Inc
PHG,,Koninklijke Philips NV ADR
SOLV,,Solventum Corp
NVO,,Novo Nordisk ADR
,,
,,
